product_name,price,image_name,integration_date,supermarket
HÚSMESTER Csirkemellfilé,1 449,csm_KW44_akcios_kinalat_kicsi_01_ed62cafbd5.jpg,2021-11-03 13:18:35.650252,aldi
HÚSMESTER Sertéstarja,1 299,csm_KW44_akcios_kinalat_kicsi_02_20b6bb9d0b.jpg,2021-11-03 13:18:35.651291,aldi
KOKÁRDÁS Rögös túró,399,csm_KW44_akcios_kinalat_kicsi_03_1243910d36.jpg,2021-11-03 13:18:35.651567,aldi
ALMARE SEAFOOD Szardínia,169,csm_KW44_akcios_kinalat_kicsi_04_a1a6bfd3f7.jpg,2021-11-03 13:18:35.652567,aldi
NATURE'S GOLD Gyöngyhagyma,169,csm_KW44_akcios_kinalat_kicsi_05_502bf4ec2f.jpg,2021-11-03 13:18:35.653090,aldi
HEINEKEN Minõségi világos sör,259,csm_KW44_akcios_kinalat_kicsi_06_93d053ab0f.jpg,2021-11-03 13:18:35.654223,aldi
AZON MELEGÉBEN Vágott zsemle,33,csm_KW44_akcios_kinalat_kicsi_07_717dafbcf2.jpg,2021-11-03 13:18:35.655272,aldi
"AZON MELEGÉBEN Hozzáadott cukor nélküli, teljes kiõrlésû, kakaós dupla tekercs",79,csm_KW44_akcios_kinalat_kicsi_08_fe35e1c41a.jpg,2021-11-03 13:18:35.657217,aldi
HÚSMESTER Csirkemáj vagy csirkezúza,339,csm_KW44_akcios_kinalat_kicsi_09_c9580b35b8.jpg,2021-11-03 13:18:35.658434,aldi
PICK Sertés darált hús,759,csm_KW44_akcios_kinalat_kicsi_10_d16333dd8e.jpg,2021-11-03 13:18:35.660101,aldi
Baromfifelvágott,319,csm_KW44_akcios_kinalat_kicsi_11_38ab3cb2bd.jpg,2021-11-03 13:18:35.661290,aldi
CUCINA NOBILE Prosciutto Cotto,569,csm_KW44_akcios_kinalat_kicsi_12_67c4477d0e.jpg,2021-11-03 13:18:35.662751,aldi
KOKÁRDÁS Élõflórás gyümölcsös krémjoghurt,329,csm_KW44_akcios_kinalat_kicsi_13_a128f2eedb.jpg,2021-11-03 13:18:35.663746,aldi
KOKÁRDÁS Kancsós tej,169,csm_KW44_akcios_kinalat_kicsi_14_58f0684d60.jpg,2021-11-03 13:18:35.665749,aldi
HÚSMESTER Csirkefelsõcomb-filé,579,csm_KW44_akcios_kinalat_kicsi_15_f0faf1d122.jpg,2021-11-03 13:18:35.665749,aldi
PICK Sertéstarja,1 179,csm_KW44_akcios_kinalat_kicsi_16_7a098758af.jpg,2021-11-03 13:18:35.665749,aldi
Csirkemellsonka,149,csm_KW44_akcios_kinalat_kicsi_17_777a78e7c7.jpg,2021-11-03 13:18:35.668438,aldi
PICK Téliszalámi,499,csm_KW44_akcios_kinalat_kicsi_18_d9e66dc8d9.jpg,2021-11-03 13:18:35.669672,aldi
