product_name,price,unit_price,image_name,integration_date,supermarket
"Pilsner Urquell minõségi világos sör 4,4% 6 x 0,5 l",1 799,"(599,67Ft/l)",dt_main.jpg,2021-11-03 13:19:37.954188,spar
"Pilsner Urquell minõségi világos sör 4,4% 0,5 l",329,"(658,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.954188,spar
"Peroni minõségi világos sör 5,1% 0,33 l",289,"(875,76Ft/l)",dt_main.jpg,2021-11-03 13:19:37.962521,spar
"Asahi Super Dry pasztõrözetlen minõségi világos sör 5,2% 330 ml",289,"(875,76Ft/l)",dt_main.jpg,2021-11-03 13:19:37.962521,spar
"Asahi Super Dry minõségi világos sör 5,2% 500 ml",349,"(698,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.963558,spar
"Pilsner Urquell minõségi világos sör 4,4% 0,33 l",229,"(693,94Ft/l)",dt_main.jpg,2021-11-03 13:19:37.963558,spar
"Pilsner Urquell minõségi világos sör 4,4% 0,5 l",289,"(578,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.963558,spar
Viper Hard Seltzer Lime ízû szénsavas alkoholos ital 4% 330 ml doboz,299,"(906,06Ft/l)",dt_main.jpg,2021-11-03 13:19:37.963558,spar
Viper Hard Seltzer Lime ízû szénsavas alkoholos ital 4% 330 ml üveg,319,"(966,67Ft/l)",dt_main.jpg,2021-11-03 13:19:37.963558,spar
Viper Hard Seltzer áfonya ízû szénsavas alkoholos ital 4% 330 ml,319,"(966,67Ft/l)",dt_main.jpg,2021-11-03 13:19:37.965911,spar
Viper Hard Seltzer áfonya ízû szénsavas alkoholos ital 4% 330 ml,299,"(906,06Ft/l)",dt_main.jpg,2021-11-03 13:19:37.965911,spar
"Gösser Premium minõségi világos sör 5% 0,5 l doboz",239,"(518,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Heineken minõségi világos sör 5% 0,5 l doboz",299,"(598,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Heineken minõségi világos sör 5% 6 x 0,25 l üveg",1 339,"(892,67Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Soproni Óvatos Duhaj APA szûretlen felsõerjesztésû sörkülönlegesség 5,5% 0,5 l doboz",299,"(598,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Soproni Óvatos Duhaj IPA szûretlen felsõerjesztésû sörkülönlegesség 4,8% 0,5 l doboz",299,"(598,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Soproni Óvatos Duhaj Málna Ale szûretlen felsõerjesztésû sörkülönlegesség 4% 0,5 l doboz",309,"(618,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Soproni Óvatos Duhaj Meggy Ale szûretlen felsõerjesztésû sörkülönlegesség 4% 0,5 l doboz",309,"(618,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Soproni Óvatos Duhaj Búza szûretlen felsõerjesztésû sörkülönlegesség 5% 0,5 l doboz",299,"(598,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
"Soproni Óvatos Duhaj Hoplager szûrt alsóerjesztésû sörkülönlegesség 4,5% 0,5 l doboz",299,"(598,00Ft/l)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
Univer Prémium málnalekvár 300 g,569,"(2396,67Ft/kg)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
Univer Prémium meggylekvár 300 g,569,"(2396,67Ft/kg)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
Univer Prémium csipkebogyólekvár 300 g,569,"(2396,67Ft/kg)",dt_main.jpg,2021-11-03 13:19:37.966954,spar
