product_name,price,unit,unit_price,image_name,integration_date,supermarket
4Dent Herbal fogkrém 125 ml,199,Ft/db,1l=1592Ft,4dent-herbal-fogkrem-125-ml-2005107297924.png,2021-11-04 16:21:51.704617,tesco
4Dent Whitening fogkrém 125 ml,199,Ft/db,1l=1592Ft,4dent-whitening-fogkrem-125-ml-2005107297962.jpg,2021-11-04 16:21:51.709297,tesco
4MAX Lemon folyékony súrolószer 750 ml,299,Ft/db,1l=398.67Ft,4max-lemon-folyekony-suroloszer-750-ml-2004020291664.jpg,2021-11-04 16:21:51.709297,tesco
4MAX Pine WC illatosító rúd 3 x 40 g,449,Ft/db,1kg=3741.67Ft,4max-pine-wc-illatosito-rud-3-x-40-g-2004020202003.jpg,2021-11-04 16:21:51.711380,tesco
4MAX szemeteszsák 35 l 40 db,319,Ft/db,1db=7.98Ft,4max-szemeteszsak-35-l-40-db-2005100501263.png,2021-11-04 16:21:51.711380,tesco
4MAX szemeteszsák 60 l 26 db,329,Ft/db,1db=12.65Ft,4max-szemeteszsak-60-l-26-db-2005100501258.png,2021-11-04 16:21:51.711380,tesco
7 csoda párbaj társasjáték,6799,Ft,,7-csoda-parbaj-tarsasjatek-2005100611677-1-5k.png,2021-11-04 16:21:51.711380,tesco
A Mars terraformálása,10390,Ft,,a-mars-terraformalasa-2005100610686-1-5k.png,2021-11-04 16:21:51.711380,tesco
Activity Casino társasjáték,6399,Ft,,activity-casino-tarsasjatek-2005100611096-1-5k.png,2021-11-04 16:21:51.711380,tesco
After Eight desszert,949,Ft,1kg=4745Ft,after-eight-desszert-2004003211508-1-5k.png,2021-11-04 16:21:51.719255,tesco
Ajax általános lemosó,639,Ft,,ajax-altalanos-lemoso-2005100081319-1-5k.png,2021-11-04 16:21:51.720280,tesco
Álombaba delux készlet,5399,Ft/szett,,alombaba-delux-keszlet-2005100524336-1-5k.png,2021-11-04 16:21:51.721317,tesco
Alpro növényi alapú mandula ital,649,Ft,,alpro-ital-2004120393906-1-5k.png,2021-11-04 16:21:51.721317,tesco
Ananász,399,Ft/kg,,ananasz-2004120780362-1-5k.png,2021-11-04 16:21:51.721317,tesco
Apenta szénsavas üdítõital,179,Ft,1l=119Ft,apenta-szensavas-uditoital-izesitett-asvanyviz-2004120475885-1-5k.png,2021-11-04 16:21:51.721317,tesco
Apenta+ üdítõital,209,Ft/db,,,2021-11-04 16:21:51.721317,tesco
AquaWell ásványvíz,75,Ft,1l=50Ft,aquawell-asvanyviz-2004020314663-1-5k.png,2021-11-04 16:21:51.721317,tesco
Arany Fácán dobozos sör,199,Ft,1l=398Ft,arany-facan-dobozos-sor-2004120006791-1-5k.png,2021-11-04 16:21:51.729480,tesco
Ariel mosószer,4999,Ft,1l=947Ft,ariel-mososzer-96-2004020313307-1-5k.png,2021-11-04 16:21:51.729480,tesco
Ariel mosószer (többféle),2599,Ft/db,,ariel-mososzer-48-2004020258049-1-5k.png,2021-11-04 16:21:51.729480,tesco
Avouré Almond tusfürdõ 1 l,599,Ft/db,1l=599Ft,avoure-almond-tusfurdo-1-l-2005107282272.jpg,2021-11-04 16:21:51.729480,tesco
Avouré Citrus tusfürdõ 1 l,599,Ft/db,1l=599Ft,avoure-citrus-tusfurdo-1-l-2005107281848.jpg,2021-11-04 16:21:51.729480,tesco
Avoure For Men Regural borotvazselé 200 ml,599,Ft/db,1l=2995Ft,avoure-for-men-regural-borotvazsele-200-ml-2005107282517.png,2021-11-04 16:21:51.735455,tesco
Avouré for Men Sensitive borotvazselé 200 ml,599,Ft/db,1l=2995Ft,avoure-for-men-sensitive-borotvazsele-200-ml-2005107282494.png,2021-11-04 16:21:51.736837,tesco
Avouré Ocean tusfürdõ 1 l,599,Ft/db,1l=599Ft,avoure-ocean-tusfurdo-1-l-2005107280339.jpg,2021-11-04 16:21:51.737881,tesco
Avouré Olive folyékony szappan 1 l,399,Ft/db,1l=399Ft,avoure-olive-folyekony-szappan-1-l-2005107280322.png,2021-11-04 16:21:51.737881,tesco
Avouré Olive tusfürdõ 1 l,599,Ft/db,1l=599Ft,avoure-olive-tusfurdo-1-l-2005107282227.jpg,2021-11-04 16:21:51.737881,tesco
Avouré Violet tusfürdõ 1 l,599,Ft/db,1l=599Ft,avoure-violet-tusfurdo-1-l-2005107282180.jpg,2021-11-04 16:21:51.737881,tesco
Azul társasjáték,11190,Ft,,azul-tarsasjatek-2005100611679-1-5k.png,2021-11-04 16:21:51.737881,tesco
Baba testápoló,799,Ft,1l=1998Ft,baba-testapolo-single-2004007690774-1-5k.png,2021-11-04 16:21:51.743572,tesco
Baby Boo babaszett rózsaszín,8899,Ft/szett,,baby-boo-baba-szett-rozsaszin-2005100605396-1-5k.png,2021-11-04 16:21:51.743572,tesco
Baby Clementoni Plüss interaktív játék,4699,Ft,,lama-es-lajhar-pluss-figura-2005100377985-1-5k.png,2021-11-04 16:21:51.745666,tesco
Baby Shark mágneses rajztábla,2599,Ft/szett,,baby-shark-magneses-rajztabla-2005100602458-1-5k.png,2021-11-04 16:21:51.745666,tesco
Backhoe Falk Power kinyitható ülésû markológép,17590,Ft,,backhoe-falk-power-kinyithato-ulesu-markologep-2005100615441-1-5k.png,2021-11-04 16:21:51.745666,tesco
Baileys Apple Pie krémlikõr,6999,Ft,1l=9999Ft,baileys-apple-pie-0-7l-2004020323286-1-5k.png,2021-11-04 16:21:51.745666,tesco
Bakugan golyócsomag,2299,Ft,kétdarabvanmellékelve,bakugan-golyo-csomag-2005100615429-1-5k.png,2021-11-04 16:21:51.745666,tesco
Bakugan kezdõcsomag,6199,Ft/szett,,bakugan-kezdocsomag-2005100615430-1-5k.png,2021-11-04 16:21:51.752122,tesco
Banán,319,Ft/kg,,banan-2004005406742-1-5k.png,2021-11-04 16:21:51.753794,tesco
Barbie baba és ló,6399,Ft/szett,,baba-es-lo-2005100375010-1-5k.png,2021-11-04 16:21:51.754833,tesco
Barbie baba válogatás,10490,Ft/szett,,barbie-baba-valogatas-2005100620588-1-5k.png,2021-11-04 16:21:51.755871,tesco
Barbie lakóautó,31490,Ft/szett,,barbie-lakoauto-2005100505087-2-5k.png,2021-11-04 16:21:51.756914,tesco
Barbie színváltós partibaba,7199,Ft/szett,,barbie-szinvaltos-party-baba-2005100620593-2-5k.png,2021-11-04 16:21:51.756914,tesco
Barbie szõke baba,13990,Ft,,barbie-szoke-baba-2005100498291-1-5k.png,2021-11-04 16:21:51.756914,tesco
Batikolós kreatívszett,3999,Ft/szett,,batikolos-kreativ-szett-2005100601512-1-5k.png,2021-11-04 16:21:51.756914,tesco
Batman figura,9999,Ft,,batman-figura-2005100615434-1-5k.png,2021-11-04 16:21:51.756914,tesco
Batmobile szett figurával,8199,Ft/szett,,batmobile-szett-figuraval-2005100564494-1-5k.png,2021-11-04 16:21:51.764255,tesco
BEBA Pro Junior vagy tápszer,2999,Ft,1kg=4998Ft,nestle-beba-pro-junior-vagy-tapszer-600g-2004120126683-1-5k.png,2021-11-04 16:21:51.765291,tesco
"Bella Cucina Prosecco D.O.C gyöngyözõ bor 10,5% 0,75 l",1499,Ft/db,1l=1998.67Ft,bella-cucina-prosecco-d-o-c-gyongyozo-bor-10-5-0-75-l-2005100267824.png,2021-11-04 16:21:51.766291,tesco
belVita Jó Reggelt! gabonakeksz multipack,469,Ft/cs,kg=1897Ft,belvita-jo-reggelt-gabonakeksz-multipack-2004008382166-1-5k.png,2021-11-04 16:21:51.767291,tesco
Berlingerhaus evõeszközkészlet,9739,Ft/szett,,berlingerhaus-evoeszkoz-keszlet-2005100607894-1-5k.png,2021-11-04 16:21:51.768726,tesco
Bing és barátai szett,5599,Ft/szett,,bing-es-baratai-szett-2005100617519-1-5k.png,2021-11-04 16:21:51.770080,tesco
Bing Zainetto hátiszák építõkockákkal,6299,Ft,,bing-zainetto-hatiszak-epitokockakkal-2005100617524-1-5k.png,2021-11-04 16:21:51.771116,tesco
"Bing, Sula, Pando plüssfigura",3499,Ft/db,,bing-sula-pando-plussfigura-2005100513817-1-5k.png,2021-11-04 16:21:51.771116,tesco
Bock Portagéza Rosé,1449,Ft,1l=1932Ft,bock-szentmarton-cuvee-es-portageza-rose-2004007308624-1-5k.png,2021-11-04 16:21:51.771116,tesco
Bolognai snack 95 g,97,Ft/db,1kg=1021.05Ft,bolognai-snack-95-g-2004020272344.png,2021-11-04 16:21:51.774306,tesco
"Bolyhos, lábbal hajtható játék jármû",4799,Ft,,labbal-hajthato-jarmu-2005100504797-1-5k.png,2021-11-04 16:21:51.776395,tesco
Bords Eve margarin,469,Ft,1kg=938Ft,bords-eve-margarin-2004006975193-1-5k.png,2021-11-04 16:21:51.776395,tesco
Borsodi Ale multipack ajándék pohárral,2099,Ft/cs,1l=1050Ft,borsodi-ale-multipack-pohar-4x0-5l-2004020325165-1-5k.png,2021-11-04 16:21:51.776395,tesco
Bosch autószerelõ és autómosó állomás,5699,Ft/szett,,bosch-autoszerelo-es-automoso-allomas-2005100371264-1-5k.png,2021-11-04 16:21:51.776395,tesco
Bosch játék láncfûrész,4099,Ft,,bosch-jatek-lancfuresz-2005105206263-1-5k.png,2021-11-04 16:21:51.776395,tesco
Boxzsák,2799,Ft/szett,,box-zsak-2005100606919-1-5k.png,2021-11-04 16:21:51.776395,tesco
Brainbox Harry Potter társasjáték,4399,Ft,,brainbox-harry-potter-tarsasjatek-2005100620648-1-5k.png,2021-11-04 16:21:51.776395,tesco
Bref WC-frissítõ blokk,999,Ft/cs,,,2021-11-04 16:21:51.785056,tesco
Brunos illatmentes csomósodó macskaalom 10 l,749,Ft/db,1l=74.9Ft,brunos-illatmentes-csomosodo-macskaalom-10-l-2004020158174.png,2021-11-04 16:21:51.788039,tesco
Brunos pástétom marhával teljes értékû állateledel felnõtt kutyák számára 300 g,199,Ft/db,1kg=663.33Ft,brunos-pastetom-marhaval-teljes-erteku-allateledel-felnott-kutyak-szamara-300-g-2005100501130.png,2021-11-04 16:21:51.788039,tesco
"Brunos teljes értékû állateledel felnõtt kutyák számára, falatok marhával szószban 1240 g",299,Ft/db,1kg=241.13Ft,brunos-teljes-erteku-allateledel-felnott-kutyak-szamara-falatok-marhaval-szoszban-1240-g-2005100429482.png,2021-11-04 16:21:51.788039,tesco
Brunos teljes értékû állateledel felnõtt macskák számára falatok hallal szószban 415 g,179,Ft/db,1kg=431.33Ft,brunos-teljes-erteku-allateledel-felnott-macskak-szamara-falatok-hallal-szoszban-415-g-2005100429178.png,2021-11-04 16:21:51.788039,tesco
Brunos teljes értékû állateledel felnõtt macskáknak falatok baromfival és marhával szószban 415 g,179,Ft/db,1kg=431.33Ft,brunos-teljes-erteku-allateledel-felnott-macskaknak-falatok-baromfival-es-marhaval-szoszban-415-g-2005100429180.png,2021-11-04 16:21:51.788039,tesco
Brunos teljes értékû száraz állateledel felnõtt kutyák számára marha és baromfi ízesítéssel 10 kg,2089,Ft/db,1kg=208.9Ft,brunos-teljes-erteku-szaraz-allateledel-felnott-kutyak-szamara-marha-es-baromfi-izesitessel-10-kg-2005100429419.png,2021-11-04 16:21:51.788039,tesco
Bûnügyi krónikák társasjáték,8699,Ft,,bunugyi-kronikak-tarsasjatek-2005100611683-1-5k.png,2021-11-04 16:21:51.795149,tesco
Büttner Olaszrizling,1499,Ft,1l=1999Ft,minden-buttner-20-2004020321131-1-5k.png,2021-11-04 16:21:51.795149,tesco
Canada Dry vagy Schweppes szénsavas üdítõital,299,Ft/db,1l=199Ft,schweppes-szensavas-uditoital-1-5l-2004003205217-1-5k.png,2021-11-04 16:21:51.797232,tesco
Canal Toys airbrush plüss,6599,Ft/szett,,canal-toys-airbrush-pluss-2005100608930-2-5k.png,2021-11-04 16:21:51.797232,tesco
Canal Toys állatklinika slime,6699,Ft/szett,,canal-toys-allatklinika-slime-2005100608931-2-5k.png,2021-11-04 16:21:51.797232,tesco
Cápa játékszett színváltós kisautóval,3299,Ft/szett,,capa-jatekszett-szinvaltos-kisautoval-2005100598155-1-5k.png,2021-11-04 16:21:51.797232,tesco
Carotina Baby Park formák és színek,5599,Ft,,carotina-baby-park-formak-es-szinek-2005100617622-1-5k.png,2021-11-04 16:21:51.802272,tesco
Carotina fejlesztõ kiskocsi,5899,Ft,,carotina-fejleszto-kiskocsi-2005100366289-1-5k.png,2021-11-04 16:21:51.803308,tesco
Carousel labda,2399,Ft/cs,1db=24Ft,carousel-labda-2005100107645-1-5k.png,2021-11-04 16:21:51.805555,tesco
Carousel labdatengerdzsungel,3999,Ft,,carousel-labdatenger-dzsungel-2005100135508-1-5k.png,2021-11-04 16:21:51.805555,tesco
Carte d'Or jégkrém,1249,Ft/db,1l=1388Ft,carte-d-or-gelateria-jegkrem-900ml-2004120501469-1-5k.png,2021-11-04 16:21:51.807638,tesco
Cerbona müzliszelet és Selection szelet,79,Ft/db,,,2021-11-04 16:21:51.807638,tesco
Cerbona zabpehelyliszt,399,Ft,1kg=798Ft,cerbona-zabpehely-liszt-2004120339431-1-5k.png,2021-11-04 16:21:51.810850,tesco
"Ceresit AERO páramentesítõ utántöltõ tabletta, Ceresit Stop Pára Aero 360° páramentesítõ készülék",2199,Ft/cs,1db=1099.5Ft,ceresit-stop-vlhkosti-aero-360-2004009265741-1-5k.png,2021-11-04 16:21:51.812259,tesco
Cherry Queen konyakmeggyes desszert,799,Ft,1kg=6392Ft,cherry-queen-konyakmeggyes-desszert-2004005758148-1-5k.png,2021-11-04 16:21:51.813255,tesco
Chia mag,479,Ft,1kg=1916Ft,chia-mag-2005100547221-1-5k.png,2021-11-04 16:21:51.813255,tesco
Chio chips,239,Ft/db,,,2021-11-04 16:21:51.815858,tesco
Cif mosogatógép-tabletta,1859,Ft/cs,,cif-mosogatogep-tabletta-gel-es-oblito-2004020300812-1-5k.png,2021-11-04 16:21:51.815858,tesco
Cif Power & Shine spray,849,Ft/db,1l=1132Ft,cif-power-shine-spray-2004008935409-1-5k.png,2021-11-04 16:21:51.817942,tesco
Cif súrolókrém,699,Ft,1l=1398Ft,cif-surolokrem-2004003210136-1-5k.png,2021-11-04 16:21:51.819936,tesco
Cillit Bang spray,899,Ft,1l=1199Ft,cillit-bang-spray-2004008183084-1-5k.png,2021-11-04 16:21:51.819936,tesco
Cillit rozsda- és vízkõoldó,899,Ft,1l=1284Ft,cillit-rozsda-es-vizkooldo-2004020321146-1-5k.png,2021-11-04 16:21:51.819936,tesco
Cirio paradicsom,359,Ft,,cirio-paradicsom-2004010415333-1-5k.png,2021-11-04 16:21:51.819936,tesco
Citrom,299,Ft/cs,1kg=598Ft,citrom-2004005763869-2-5k.png,2021-11-04 16:21:51.819936,tesco
Citrom lédig,167,Ft/db,1kg=799Ft,citrom-ledig-2004005763951.png,2021-11-04 16:21:51.819936,tesco
Classic zsigerelt kárász,1399,Ft,,classic-zsigerelt-karasz-2004020323815-1-5k.png,2021-11-04 16:21:51.826049,tesco
Clementoni 1000 Kvíz Interaktív toll,3699,Ft,,clementoni-1000-kviz-interaktiv-toll-2005100608494-1-5k.png,2021-11-04 16:21:51.828124,tesco
Clementoni brilians ékkövek kirakó,1699,Ft,,brilians-ekkovek-kirako-2005100404911-1-5k.png,2021-11-04 16:21:51.828124,tesco
Clementoni farm állatos interaktív vonat,7799,Ft,,farm-allatos-interaktiv-vonat-2005100608495-1-5k.png,2021-11-04 16:21:51.828124,tesco
Clementoni interaktív motor,5599,Ft,csomagolás,clementoni-interaktiv-motor-2005100135459-1-5k.png,2021-11-04 16:21:51.828124,tesco
Clementoni karácsonyi kirakóválogatás,2399,Ft/db,,karacsonyi-kirako-valogatas-2005100620653-1-5k.png,2021-11-04 16:21:51.828124,tesco
Clementoni kicsi robot állatkák,2999,Ft/db,,clementoni-kicsi-robot-allat-2005100614008-1-5k.png,2021-11-04 16:21:51.828124,tesco
Clementoni Mecha sárkány,11190,Ft,,clementoni-mecha-sarkany-2005100614010-1-5k.png,2021-11-04 16:21:51.836216,tesco
Clementoni Mio robot,7499,Ft,,clementoni-mio-robot-2005100505416-1-5k.png,2021-11-04 16:21:51.837231,tesco
Clementoni múzeumos kirakó,1999,Ft/db,,muzeumos-kirako-2005100506731-1-5k.png,2021-11-04 16:21:51.838261,tesco
Clementoni színterápiás kirakó,2399,Ft/db,,szinterapias-kirako-2005100506736-1-5k.png,2021-11-04 16:21:51.839304,tesco
Clemmy szenzoros játék vonat,5299,Ft,db=5299.00Ft,clemmy-szenzoros-jatekvonat-2005100608490-1-5k.png,2021-11-04 16:21:51.839304,tesco
Clin szórófejes ablaktisztító vagy utántöltõ,499,Ft/db,,,2021-11-04 16:21:51.839304,tesco
Cluedo hazugok társasjáték,8699,Ft,6hazugságkártyaés6igazságkártya,cluedo-hazugok-tarsasjatek-2005100612825-1-5k.png,2021-11-04 16:21:51.839304,tesco
Coca-Cola szénsavas üdítõital,339,Ft/db,,,2021-11-04 16:21:51.839304,tesco
Coccolino öblítõkoncentrátum,999,Ft/db,,,2021-11-04 16:21:51.846408,tesco
Colt Express társasjáték,7899,Ft,,colt-express-tarsasjatek-2005100611820-1-5k.png,2021-11-04 16:21:51.846408,tesco
Completa light tejszínhabspray,549,Ft,1l=2196Ft,completa-habspray-2004006898294-1-5k.png,2021-11-04 16:21:51.848499,tesco
Concept társasjáték,7899,Ft,,concept-tarsasjatek-2005100505480-1-5k.png,2021-11-04 16:21:51.849551,tesco
Crazy Chic divat & ékszerek szett,5099,Ft/szett,,crazy-chic-divat-ekszerek-szett-2005100608492-1-5k.png,2021-11-04 16:21:51.849551,tesco
Crazy Chic Superstar sminkkészlet,7399,Ft/szett,,crazy-chic-superstar-sminkkeszlet-2005100616140-1-5k.png,2021-11-04 16:21:51.852173,tesco
"Creamfields UHT zsírszegény tej 1,5% 1 l",179,Ft/db,1l=179Ft,creamfields-uht-zsirszegeny-tej-1-5-1-l-2004020262976.png,2021-11-04 16:21:51.853211,tesco
Create A Road dinós versenyautó-pálya,5999,Ft/szett,,create-a-road-dinos-versenyauto-palya-2005100608272-1-5k.png,2021-11-04 16:21:51.853211,tesco
Cry Babies arany baba házikóval,4699,Ft,,cry-babies-arany-baba-hazikoval-2005100616136-1-5k.png,2021-11-04 16:21:51.856397,tesco
Cry babies könnyes baba Fantasy meglepetés házikóban,5799,Ft,,cry-babies-konnyes-baba-fantasy-meglepetes-hazikoban-2005100616134-1-5k.png,2021-11-04 16:21:51.856397,tesco
Cry Babies Magic Tears házikó,4199,Ft,,cry-babies-magic-tears-haziko-2005100591963-1-5k.png,2021-11-04 16:21:51.858490,tesco
Cry Pet pityergõ kisállat,6299,Ft/db,,cry-pet-pityergo-kisallat-2005100564506-1-5k.png,2021-11-04 16:21:51.858490,tesco
Daewoo DHB-660s botmixer,9999,Ft,,daewoo-dhb-660s-botmixer-2005100079118-1-5k.png,2021-11-04 16:21:51.858490,tesco
Danette puding multipack,449,Ft/cs,1kg=898Ft,danette-puding-multipack-2004120103802-1-5k.png,2021-11-04 16:21:51.858490,tesco
Danone natúr joghurt vagy kefir,269,Ft/cs,1kg=517Ft,danone-natur-joghurt-vagy-kefir-2004005140905-1-5k.png,2021-11-04 16:21:51.858490,tesco
Datolyaszilva,149,Ft/db,,datolyaszilva-2004003262395-1-5k.png,2021-11-04 16:21:51.867481,tesco
DC figurák,3599,Ft/db,,dc-figurak-2005100615436-2-5k.png,2021-11-04 16:21:51.868377,tesco
Dettol antibakteriális tisztítóspray,899,Ft,1l=1798Ft,dettol-antibakterialis-tisztito-spray-2004120733937-1-5k.png,2021-11-04 16:21:51.869975,tesco
Diablo mogyorókrém,1299,Ft,1kg=3711Ft,diablo-mogyorokrem-2004020276223-1-5k.png,2021-11-04 16:21:51.869975,tesco
Dino mentõakció társasjáték,6799,Ft,,dino-mentoakcio-tarsasjatek-2005100611067-2-5k.png,2021-11-04 16:21:51.869975,tesco
Dino Valley dino-torony szett,11090,Ft/szett,,dino-valley-dino-torony-szett-2005100603253-1-5k.png,2021-11-04 16:21:51.869975,tesco
Dino Valley laboratóriumi kitörési játékszett,7499,Ft/szett,,dino-valley-laboratoriumi-kitoresi-jatekszett-2005100596167-1-5k.png,2021-11-04 16:21:51.869975,tesco
Dino Valley teherszállító autó,5999,Ft/szett,,dino-valley-teherszallito-auto-2005100596166-1-5k.png,2021-11-04 16:21:51.877161,tesco
Dinós készlet,2999,Ft/szett,,dinos-keszlet-2005100608306-1-5k.png,2021-11-04 16:21:51.877161,tesco
Domestos fertõtlenítõ és fehérítõ hatású tisztítószer,549,Ft/db,,,2021-11-04 16:21:51.880284,tesco
Domestos fertõtlenítõ vagy fehérítõ hatású tisztítószer,549,Ft/db,,,2021-11-04 16:21:51.880284,tesco
Dörmi piskóta multipack,369,Ft/cs,1kg=2460Ft,dormi-piskota-multipack-2004010849169-1-5k.png,2021-11-04 16:21:51.880284,tesco
Dr. Oetker Brownies alappor,769,Ft,1kg=1764Ft,dr-oetker-muffin-vagy-brownies-alapporok-2004010093111-1-5k.png,2021-11-04 16:21:51.885532,tesco
Dr. Oetker ét tortabevonó,399,Ft,1kg=3990Ft,dr-oetker-et-tortabevono-2004003008672-1-5k.png,2021-11-04 16:21:51.887259,tesco
Dr. Oetker Finesse reszelt citromhéj,419,Ft/cs,,2004120675936-1-5k.png,2021-11-04 16:21:51.888300,tesco
Dr.Oetker szárított rozskovász,149,Ft,,dr-oetker-szaritott-rozskovasz-2004020302895-1-5k.png,2021-11-04 16:21:51.889300,tesco
Dreamies jutalomfalat megapack,729,Ft/db,,,2021-11-04 16:21:51.889300,tesco
Duck toalett-tisztító gél,449,Ft,1l=599Ft,duck-toalett-tisztito-gel-2004009633298-1-5k.png,2021-11-04 16:21:51.889300,tesco
Edami félkemény vagy Gouda zsíros sajt,1899,Ft/kg,,edami-fekemeny-sajt-2004003149245-1-5k.png,2021-11-04 16:21:51.889300,tesco
Édes teasüteménymix,899,Ft,1kg=2248Ft,edes-teasutemeny-mix-2004020324682-1-5k.png,2021-11-04 16:21:51.889300,tesco
Eduscho Dupla vagy Wiener Extra õrölt kávé,1799,Ft/cs,,eduscho-dupla-vagy-wiener-extra-orolt-kave-2004020312066-1-5k.png,2021-11-04 16:21:51.889300,tesco
